[2026-02-10 00:37:33] | CLEAN | Risk=10 | C:\Users\berke\Desktop\mini_av\test_folder\safe.ps1 | Reasons=NONE
[2026-02-10 01:04:20] | CLEAN | Risk=10 | C:\Users\berke\Desktop\mini_av\test_folder\clear.bat | Reasons=NONE
[2026-02-10 01:04:20] | CLEAN | Risk=10 | C:\Users\berke\Desktop\mini_av\test_folder\clear.ps1 | Reasons=NONE
[2026-02-10 01:04:20] | CLEAN | Risk=0 | C:\Users\berke\Desktop\mini_av\test_folder\fakeb64.txt | Reasons=NONE
[2026-02-10 01:04:20] | CLEAN | Risk=10 | C:\Users\berke\Desktop\mini_av\test_folder\microsoft.ps1 | Reasons=NONE
[2026-02-10 01:04:20] | CLEAN | Risk=10 | C:\Users\berke\Desktop\mini_av\test_folder\roblox.ps1 | Reasons=NONE
[2026-02-10 01:04:20] | CLEAN | Risk=0 | C:\Users\berke\Desktop\mini_av\test_folder\safe.ps1 | Reasons=NONE
[2026-02-10 01:11:50] | CLEAN | Risk=0 | C:\Users\berke\Desktop\mini_av\test_folder\clear.bat | Reasons=NONE
[2026-02-10 01:11:50] | CLEAN | Risk=0 | C:\Users\berke\Desktop\mini_av\test_folder\clear.ps1 | Reasons=NONE
[2026-02-10 01:11:50] | CLEAN | Risk=0 | C:\Users\berke\Desktop\mini_av\test_folder\fakeb64.txt | Reasons=NONE
[2026-02-10 01:11:50] | CLEAN | Risk=0 | C:\Users\berke\Desktop\mini_av\test_folder\malware.ps1 | Reasons=NONE
[2026-02-10 01:11:50] | CLEAN | Risk=0 | C:\Users\berke\Desktop\mini_av\test_folder\microsoft.ps1 | Reasons=NONE
[2026-02-10 01:11:50] | CLEAN | Risk=0 | C:\Users\berke\Desktop\mini_av\test_folder\roblox.ps1 | Reasons=NONE
[2026-02-10 01:11:50] | CLEAN | Risk=0 | C:\Users\berke\Desktop\mini_av\test_folder\safe.ps1 | Reasons=NONE
[2026-02-10 01:29:21] | CLEAN | Risk=0 | C:/Users/berke/Desktop/mini_av/test_folder\clear.bat | Reasons=NONE
[2026-02-10 01:29:21] | CLEAN | Risk=0 | C:/Users/berke/Desktop/mini_av/test_folder\clear.ps1 | Reasons=NONE
[2026-02-10 01:29:21] | CLEAN | Risk=0 | C:/Users/berke/Desktop/mini_av/test_folder\fakeb64.txt | Reasons=NONE
[2026-02-10 01:29:21] | CLEAN | Risk=0 | C:/Users/berke/Desktop/mini_av/test_folder\malware.ps1 | Reasons=NONE
[2026-02-10 01:29:21] | CLEAN | Risk=0 | C:/Users/berke/Desktop/mini_av/test_folder\microsoft.ps1 | Reasons=NONE
[2026-02-10 01:29:21] | CLEAN | Risk=0 | C:/Users/berke/Desktop/mini_av/test_folder\roblox.ps1 | Reasons=NONE
